month,intervals,total_revenue_eur,charging_cost_eur,discharge_revenue_eur,energy_charged_mwh,energy_discharged_mwh,efc,max_daily_discharge_mwh,max_soc_mwh,min_soc_mwh
2025-10,2980,308441.63972136733,168824.5995152394,477266.2392366067,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0
2025-11,2880,194109.5824774598,224896.6455285835,419006.2280060433,3333.333333333333,3000.0,30.0,100.0,90.0,10.0
2025-12,2976,136921.1416979817,223994.01009492957,360915.15179291123,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0
2026-01,2976,167294.57882100478,288462.38465434336,455756.96347534814,3427.2520307645354,3084.526827688082,30.84526827688082,100.0,90.0,10.0
2026-02,2688,142498.32273126574,211736.72134392,354235.04407518567,3111.1111111111113,2800.0,28.0,100.0,90.0,10.0
2026-03,2972,418588.15176030307,123275.3722958543,541863.5240561573,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0
2026-04,2880,466271.39170349576,24327.019496323097,490598.4111998189,3333.3333333333335,3000.0000000000023,30.00000000000002,100.00000000000202,90.00000000000087,9.999999999999256
2026-05,2976,442742.22389164136,69839.02007010773,512581.24396174913,3444.4444444444443,3100.0,31.0,100.0,90.0,9.999999999999948
2026-06,2880,531040.2448683265,146501.9341984925,677542.179066819,3333.3333333333335,3000.0,30.0,100.0,90.00000000000003,9.99999999999999
2026-07,2976,406072.7721924462,121513.76849065172,527586.5406830979,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0
2026-08,2976,434396.2052575576,174084.2961901227,608480.5014476804,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0
