timestamp_utc,isp,dispatch_up,dispatch_down,shortage,surplus,regulation_state,regulating_condition,day_ahead_price
2026-08-01 00:00:00+00:00,1,170.0,,170.0,170.0,1,UP,159.51
2026-08-01 00:15:00+00:00,2,174.0,,174.0,174.0,1,UP,157.05
2026-08-01 00:30:00+00:00,3,205.0,,205.0,205.0,1,UP,154.7
2026-08-01 00:45:00+00:00,4,159.0,,159.0,159.0,1,UP,150.58
2026-08-01 01:00:00+00:00,5,200.0,,200.0,200.0,1,UP,155.14
2026-08-01 01:15:00+00:00,6,170.0,156.0,170.0,128.07,2,UP_AND_DOWN,152.08
2026-08-01 01:30:00+00:00,7,77.0,148.88,127.79,127.79,2,UP_AND_DOWN,153.45
2026-08-01 01:45:00+00:00,8,100.81,148.1,127.7,127.7,2,UP_AND_DOWN,151.16
2026-08-01 02:00:00+00:00,9,159.0,162.0,159.0,127.43,2,UP_AND_DOWN,152.13
2026-08-01 02:15:00+00:00,10,162.0,159.0,162.0,126.38,2,UP_AND_DOWN,154.39
2026-08-01 02:30:00+00:00,11,150.0,162.0,150.0,126.13,2,UP_AND_DOWN,151.87
2026-08-01 02:45:00+00:00,12,162.0,,162.0,162.0,1,UP,150.52
2026-08-01 03:00:00+00:00,13,200.0,,200.0,200.0,1,UP,151.09
2026-08-01 03:15:00+00:00,14,170.0,,170.0,170.0,1,UP,154.32
2026-08-01 03:30:00+00:00,15,170.0,,170.0,170.0,1,UP,154.29
2026-08-01 03:45:00+00:00,16,159.0,166.0,159.0,126.7,2,UP_AND_DOWN,156.45
2026-08-01 04:00:00+00:00,17,156.0,166.0,156.0,126.4,2,UP_AND_DOWN,159.33
2026-08-01 04:15:00+00:00,18,170.0,130.22,170.0,126.68,2,UP_AND_DOWN,154.25
2026-08-01 04:30:00+00:00,19,170.0,,170.0,170.0,1,UP,151.86
2026-08-01 04:45:00+00:00,20,170.0,,170.0,170.0,1,UP,149.8
2026-08-01 05:00:00+00:00,21,170.0,,170.0,170.0,1,UP,162.96
2026-08-01 05:15:00+00:00,22,162.0,162.0,162.0,124.48,2,UP_AND_DOWN,147.0
2026-08-01 05:30:00+00:00,23,162.0,166.0,162.0,123.44,2,UP_AND_DOWN,141.73
2026-08-01 05:45:00+00:00,24,150.0,159.0,150.0,122.16,2,UP_AND_DOWN,134.0
2026-08-01 06:00:00+00:00,25,172.35,,172.35,172.35,1,UP,160.86
2026-08-01 06:15:00+00:00,26,170.0,,170.0,170.0,1,UP,143.7
2026-08-01 06:30:00+00:00,27,170.0,,170.0,170.0,1,UP,133.18
2026-08-01 06:45:00+00:00,28,150.0,162.0,150.0,150.0,1,UP,123.02
2026-08-01 07:00:00+00:00,29,170.0,,170.0,170.0,1,UP,145.41
2026-08-01 07:15:00+00:00,30,190.91,,190.91,190.91,1,UP,121.02
2026-08-01 07:30:00+00:00,31,166.0,,166.0,166.0,1,UP,113.29
2026-08-01 07:45:00+00:00,32,180.0,,180.0,180.0,1,UP,100.27
2026-08-01 08:00:00+00:00,33,170.0,156.0,170.0,170.0,1,UP,107.89
2026-08-01 08:15:00+00:00,34,170.0,,170.0,170.0,1,UP,93.22
2026-08-01 08:30:00+00:00,35,153.0,,153.0,153.0,1,UP,86.12
2026-08-01 08:45:00+00:00,36,153.0,162.0,153.0,119.5,2,UP_AND_DOWN,68.44
2026-08-01 09:00:00+00:00,37,148.08,156.0,148.08,119.27,2,UP_AND_DOWN,70.19
2026-08-01 09:15:00+00:00,38,150.0,50.0,150.0,50.0,2,UP_AND_DOWN,57.33
2026-08-01 09:30:00+00:00,39,,87.74,87.74,87.74,-1,DOWN,43.1
2026-08-01 09:45:00+00:00,40,,98.0,98.0,98.0,-1,DOWN,22.38
2026-08-01 10:00:00+00:00,41,150.0,95.23,150.0,90.59,2,UP_AND_DOWN,26.67
2026-08-01 10:15:00+00:00,42,151.33,94.0,151.33,88.79,2,UP_AND_DOWN,16.62
2026-08-01 10:30:00+00:00,43,100.81,90.79,100.81,83.05,2,UP_AND_DOWN,10.0
2026-08-01 10:45:00+00:00,44,90.81,50.0,90.81,50.0,2,UP_AND_DOWN,3.49
2026-08-01 11:00:00+00:00,45,100.26,90.0,100.26,90.0,2,UP_AND_DOWN,1.59
2026-08-01 11:15:00+00:00,46,,-1.5,-1.5,-1.5,-1,DOWN,0.08
2026-08-01 11:30:00+00:00,47,,12.0,12.0,12.0,-1,DOWN,
2026-08-01 11:45:00+00:00,48,,10.0,10.0,10.0,-1,DOWN,
2026-08-01 12:00:00+00:00,49,,18.72,18.72,18.72,-1,DOWN,0.0
2026-08-01 12:15:00+00:00,50,,12.0,12.0,12.0,-1,DOWN,
2026-08-01 12:30:00+00:00,51,,-4.0,-4.0,-4.0,-1,DOWN,
2026-08-01 12:45:00+00:00,52,,-1.5,-1.5,-1.5,-1,DOWN,
2026-08-01 13:00:00+00:00,53,53.6,100.0,77.5,77.5,2,UP_AND_DOWN,
2026-08-01 13:15:00+00:00,54,68.96,-4.0,80.0,-4.0,2,UP_AND_DOWN,0.27
2026-08-01 13:30:00+00:00,55,,-1.5,-1.5,-1.5,-1,DOWN,2.4
2026-08-01 13:45:00+00:00,56,,-13.0,-13.0,-13.0,-1,DOWN,7.74
2026-08-01 14:00:00+00:00,57,,-10.0,-10.0,-10.0,-1,DOWN,5.4
2026-08-01 14:15:00+00:00,58,,12.0,12.0,12.0,-1,DOWN,20.0
2026-08-01 14:30:00+00:00,59,,-4.0,-4.0,-4.0,-1,DOWN,53.56
2026-08-01 14:45:00+00:00,60,,-10.0,-10.0,-10.0,-1,DOWN,73.27
2026-08-01 15:00:00+00:00,61,70.86,-10.0,70.86,-10.0,2,UP_AND_DOWN,74.04
2026-08-01 15:15:00+00:00,62,50.0,87.74,72.5,72.5,2,UP_AND_DOWN,86.38
2026-08-01 15:30:00+00:00,63,138.29,,138.29,138.29,1,UP,107.15
2026-08-01 15:45:00+00:00,64,130.99,12.0,130.99,12.0,2,UP_AND_DOWN,115.65
2026-08-01 16:00:00+00:00,65,102.5,74.36,116.25,74.36,2,UP_AND_DOWN,114.82
2026-08-01 16:15:00+00:00,66,115.0,50.0,116.0,50.0,2,UP_AND_DOWN,128.21
2026-08-01 16:30:00+00:00,67,150.0,,150.0,150.0,1,UP,154.01
2026-08-01 16:45:00+00:00,68,150.0,,150.0,150.0,1,UP,163.01
2026-08-01 17:00:00+00:00,69,114.0,50.0,121.76,50.0,2,UP_AND_DOWN,145.32
2026-08-01 17:15:00+00:00,70,139.83,50.0,139.83,50.0,2,UP_AND_DOWN,158.11
2026-08-01 17:30:00+00:00,71,150.0,50.0,150.0,50.0,2,UP_AND_DOWN,175.44
2026-08-01 17:45:00+00:00,72,140.0,50.0,140.0,50.0,2,UP_AND_DOWN,186.72
2026-08-01 18:00:00+00:00,73,77.0,111.0,133.66,111.0,2,UP_AND_DOWN,174.13
2026-08-01 18:15:00+00:00,74,166.0,111.0,166.0,111.0,2,UP_AND_DOWN,180.32
2026-08-01 18:30:00+00:00,75,170.0,,170.0,170.0,1,UP,183.52
2026-08-01 18:45:00+00:00,76,183.55,,183.55,183.55,1,UP,186.29
2026-08-01 19:00:00+00:00,77,218.0,,218.0,218.0,1,UP,185.12
2026-08-01 19:15:00+00:00,78,207.49,,207.49,207.49,1,UP,181.85
2026-08-01 19:30:00+00:00,79,244.43,,244.43,244.43,1,UP,182.41
2026-08-01 19:45:00+00:00,80,170.0,,170.0,170.0,1,UP,173.85
2026-08-01 20:00:00+00:00,81,170.0,,170.0,170.0,1,UP,190.2
2026-08-01 20:15:00+00:00,82,190.0,,190.0,190.0,1,UP,179.69
2026-08-01 20:30:00+00:00,83,195.0,,195.0,195.0,1,UP,175.2
2026-08-01 20:45:00+00:00,84,222.36,,222.36,222.36,1,UP,169.1
2026-08-01 21:00:00+00:00,85,255.0,,255.0,255.0,1,UP,172.11
2026-08-01 21:15:00+00:00,86,200.0,,200.0,200.0,1,UP,171.94
2026-08-01 21:30:00+00:00,87,170.0,,170.0,170.0,1,UP,171.23
2026-08-01 21:45:00+00:00,88,200.0,,200.0,200.0,1,UP,164.72
2026-08-01 22:00:00+00:00,89,170.0,167.41,170.0,134.93,2,UP_AND_DOWN,187.51
2026-08-01 22:15:00+00:00,90,162.0,,162.0,162.0,1,UP,170.56
2026-08-01 22:30:00+00:00,91,150.0,128.72,150.0,128.72,2,UP_AND_DOWN,161.1
2026-08-01 22:45:00+00:00,92,150.0,128.72,150.0,128.72,2,UP_AND_DOWN,154.44
2026-08-01 23:00:00+00:00,93,150.0,,150.0,150.0,1,UP,160.86
2026-08-01 23:15:00+00:00,94,162.0,,162.0,162.0,1,UP,156.81
2026-08-01 23:30:00+00:00,95,153.0,145.54,153.0,130.77,2,UP_AND_DOWN,162.01
2026-08-01 23:45:00+00:00,96,100.81,117.0,138.5,117.0,2,UP_AND_DOWN,159.23
